,id,长度,句数,被动,总词数,连副词
2444,1207542407.txt,30708,296,3,14746,563
2445,1200742562.txt,6881,71,0,3439,121
2446,1204805139.txt,15871,175,2,8369,289
2447,1207688426.txt,20355,204,4,10793,391
2448,1206514966.txt,10022,49,0,4021,148
2449,1204086589.txt,13172,126,0,5800,211
2450,1204547313.txt,4025,52,1,2000,71
2451,51409018.txt,4849,75,7,2616,113
2452,1207337548.txt,5901,69,2,3152,147
2453,62190527.txt,11343,132,2,5879,230
2454,1200863461.txt,8388,90,22,4173,144
2455,1207658899.txt,11423,124,0,5532,223
2456,1204680830.txt,0,0,0,0,0
2457,62393229.txt,6107,76,2,3325,137
2458,1207647925.txt,0,0,0,0,0
2459,1206137053.txt,46220,525,1,23161,710
2460,1213209500.txt,9708,125,0,5271,207
2461,1203155273.txt,10466,101,0,4602,187
2462,1200838963.txt,8369,91,0,4168,148
2463,1204558304.txt,6404,62,1,3211,134
2464,1213116557.txt,16190,122,1,6601,202
2465,62498897.txt,2503,30,0,1352,67
2466,1207402251.txt,37614,218,4,16406,484
2467,1202094157.txt,5560,64,0,2996,119
2468,63846875.txt,15864,216,16,8335,298
2469,1200766185.txt,10116,90,1,5032,199
2470,63840925.txt,5164,74,0,2698,105
2471,1207436775.txt,35775,347,3,16274,466
2472,1207470982.txt,12168,99,1,4879,195
2473,60849673.txt,7836,70,1,4059,149
2474,62382384.txt,4752,64,0,2574,118
2475,63884591.txt,3819,56,0,2047,91
2476,1200795833.txt,10221,95,1,5154,175
2477,1202261493.txt,10357,78,4,5267,200
2478,1203423257.txt,3602,46,0,2026,97
2479,1206163277.txt,0,0,0,0,0
2480,51494199.txt,4218,49,0,2205,91
2481,1209428274.txt,19119,207,4,9607,352
2482,60899542.txt,10269,126,2,5572,270
2483,1213219380.txt,23854,257,1,12991,462
2484,1205792665.txt,7403,57,2,3246,98
2485,1204595126.txt,8773,114,0,4657,213
2486,62366505.txt,18890,160,6,8390,254
2487,1202495621.txt,6672,50,2,2731,72
2488,1212541948.txt,18460,220,0,9279,440
2489,60912434.txt,10448,104,0,5519,221
2490,1209496384.txt,24186,150,7,10070,293
2491,1200924721.txt,11797,147,1,6360,276
2492,1200779045.txt,13084,152,1,6942,228
2493,1200948087.txt,11738,110,0,5926,192
2494,59362528.txt,7622,125,1,4256,188
2495,62270400.txt,4129,37,0,2021,84
2496,60594742.txt,5878,61,0,3319,153
2497,1209879679.txt,24997,270,6,12925,398
2498,59345273.txt,4254,72,0,2224,131
2499,1205955458.txt,9624,95,1,4581,167
2500,1204478227.txt,27967,310,3,14091,485
2501,1206161914.txt,0,0,0,0,0
2502,59138423.txt,2807,33,0,1470,58
2503,1207429321.txt,20558,219,6,9948,300
2504,1203711186.txt,43011,556,24,20677,780
2505,1208047064.txt,7192,67,1,2944,75
2506,1202145498.txt,8658,100,6,4318,174
2507,1203211569.txt,11634,101,2,4881,182
2508,1207419107.txt,10683,126,0,5317,181
2509,59214194.txt,23707,330,16,12943,686
2510,1203384046.txt,31645,382,8,16565,883
2511,1209496061.txt,13171,187,1,6788,168
2512,60672099.txt,6183,82,2,3225,137
2513,1212942174.txt,14740,168,2,7262,247
2514,1213216183.txt,36040,424,2,18862,549
2515,1204472920.txt,7940,99,3,4333,172
2516,59144800.txt,6022,64,0,3402,164
2517,1206008716.txt,64499,903,30,32607,1115
2518,1212747378.txt,10176,99,1,5004,132
2519,1204551065.txt,12155,111,1,5473,178
2520,1209727467.txt,9940,114,3,4750,137
2521,1214463651.txt,49099,273,8,18969,445
2522,1204550574.txt,64494,565,14,29245,1088
2523,1207687277.txt,11991,154,5,6439,306
2524,60763671.txt,45609,691,4,23296,956
2525,1203242725.txt,0,0,0,0,0
2526,1205938049.txt,2494,39,1,1351,56
2527,1203216419.txt,4857,49,2,2298,102
2528,1200979283.txt,5145,57,1,2750,133
2529,1212626785.txt,30971,356,5,15870,657
2530,1200883033.txt,7764,68,3,3634,148
2531,63719989.txt,3602,44,6,1864,91
2532,1202033585.txt,25546,271,1,11779,402
2533,63911903.txt,28615,271,4,14251,408
2534,1203675032.txt,50977,432,6,25200,878
2535,1203235083.txt,15075,168,1,7215,168
2536,1209758597.txt,31646,317,7,15735,611
2537,1203427611.txt,10194,101,4,4987,153
2538,1203184755.txt,17810,184,8,8141,257
2539,1203242275.txt,33583,309,8,14101,489
2540,62267291.txt,14629,162,3,7811,312
2541,1202089662.txt,9583,110,3,5113,196
2542,1202283922.txt,17951,211,0,8535,290
2543,1204821615.txt,33293,216,1,14560,213
2544,1209722686.txt,6809,91,2,3569,156
2545,1202115933.txt,6728,69,5,3094,106
2546,1204847796.txt,27101,283,0,13621,329
2547,1209465693.txt,22185,211,1,9717,314
2548,63952497.txt,9296,93,8,4355,151
2549,59324957.txt,4718,54,0,2454,104
2550,1212753182.txt,0,0,0,0,0
2551,1212533689.txt,26325,305,5,14008,594
2552,1205930402.txt,7122,91,1,3640,132
2553,1200920597.txt,39332,294,3,18797,579
2554,1203410478.txt,17874,137,2,8422,305
2555,1207429521.txt,21130,181,7,10248,351
2556,1213575648.txt,49718,511,10,24542,840
2557,1209359778.txt,9968,106,0,4925,202
2558,1207689304.txt,23441,210,2,11415,390
2559,62288811.txt,31316,367,6,15802,506
2560,1202202774.txt,6740,86,1,3483,171
2561,1200883474.txt,8707,105,4,4442,200
2562,1204557569.txt,5021,45,0,2625,94
2563,63795565.txt,7339,85,2,3899,146
2564,1207528453.txt,4566,52,1,2489,93
2565,1204628933.txt,5524,66,0,2993,125
2566,63726595.txt,10057,135,5,5430,241
2567,1214892207.txt,8773,56,3,3396,74
2568,1202241947.txt,12666,158,2,6673,276
2569,1200699868.txt,5173,55,2,2790,100
2570,1202210842.txt,10306,129,3,5502,259
2571,1207385701.txt,12639,100,4,6456,251
2572,1207404761.txt,130382,250,3,30789,1119
2573,62197160.txt,4683,59,1,2580,90
2574,1204544770.txt,39972,304,2,19725,585
2575,62406334.txt,7911,70,3,4260,202
2576,1205892756.txt,50361,413,6,24946,619
2577,1200888726.txt,10453,114,0,5165,208
2578,1204703905.txt,41144,409,3,21372,726
2579,1209658710.txt,3437,47,0,1824,78
2580,60706878.txt,19330,189,3,9968,402
2581,1212626566.txt,5943,61,4,3204,121
2582,1205949224.txt,38715,449,10,18408,670
2583,1207611168.txt,14618,132,2,6642,240
2584,1207419059.txt,37491,329,5,18239,539
2585,1207516856.txt,8998,118,5,4393,135
2586,60932069.txt,14465,152,2,7402,283
2587,1202043997.txt,15371,169,1,8149,319
2588,1203133714.txt,6944,110,2,3769,169
2589,1207670261.txt,17704,188,3,8528,334
2590,60890930.txt,9739,143,1,4890,196
2591,1204649856.txt,7409,19,2,3508,76
2592,1204535297.txt,17283,192,1,7485,295
2593,62116481.txt,4451,57,2,2422,79
2594,57818110.txt,6828,98,2,3577,173
2595,1203418026.txt,5283,55,0,2797,108
2596,1206413268.txt,16235,195,5,8301,322
2597,1205980758.txt,17348,173,2,8224,283
2598,1209846274.txt,56709,593,7,29008,1095
2599,1209490048.txt,35273,350,1,17095,489
2600,1200973324.txt,6259,80,0,3360,118
2601,59212163.txt,9003,101,9,4989,227
2602,1207389252.txt,22163,210,2,9137,415
2603,1213049250.txt,19257,175,8,9746,350
2604,60712354.txt,10434,120,10,5404,213
2605,1207538703.txt,14572,180,2,7094,271
2606,63673407.txt,7403,83,1,3963,175
2607,1212682607.txt,10907,127,3,5706,202
2608,1213341603.txt,0,0,0,0,0
2609,1213052097.txt,49896,563,3,25296,805
2610,1201999590.txt,12939,72,1,4612,173
2611,1202084985.txt,29727,348,9,15565,626
2612,62452211.txt,11264,112,5,5292,208
2613,1203049448.txt,7795,54,1,3121,94
2614,63760204.txt,61489,599,11,28717,918
2615,63811806.txt,8049,105,2,4312,180
2616,60752053.txt,38278,349,6,18173,585
2617,1202258693.txt,33880,331,7,15774,549
2618,1209639437.txt,1216,8,0,575,14
2619,39222562.txt,2570,38,0,1362,55
2620,1202258561.txt,13820,125,6,5686,261
2621,1207672794.txt,22652,190,15,11904,357
2622,62288755.txt,42454,467,6,18427,612
2623,1203360712.txt,22663,217,4,11003,395
2624,1202164758.txt,4715,37,0,2576,108
2625,1213026714.txt,32035,263,1,15768,525
2626,1207431331.txt,14486,124,1,6214,205
2627,57836850.txt,29923,278,4,14040,444
2628,1209453384.txt,22055,244,4,11473,392
2629,62392645.txt,29486,309,30,14918,526
2630,1200749204.txt,45732,380,12,21763,708
2631,1207429765.txt,13730,151,3,7153,260
2632,1204669078.txt,12717,134,1,6260,237
2633,63009393.txt,0,0,0,0,0
2634,1207668192.txt,6813,75,1,3693,116
2635,1212921295.txt,23246,215,14,10195,288
2636,1206120774.txt,25020,207,2,10742,394
2637,1207685980.txt,9233,83,0,3579,177
2638,1212924404.txt,31151,274,4,14667,515
2639,1207491647.txt,33308,231,4,15756,458
2640,1213086499.txt,26316,263,2,13661,492
2641,1212994493.txt,0,0,0,0,0
2642,1204791521.txt,21544,262,4,11189,440
2643,1209495972.txt,30965,316,6,15818,555
2644,1209676698.txt,12151,134,4,6053,248
2645,63687042.txt,6843,107,4,3739,200
2646,60593532.txt,8816,77,0,4327,148
2647,1207297934.txt,47742,506,8,24925,1022
2648,59148871.txt,6108,100,1,3175,133
2649,62098298.txt,14646,160,9,7825,329
2650,1204507868.txt,35098,353,4,17076,584
2651,1202148864.txt,8007,102,2,4366,174
2652,1205231511.txt,28728,329,1,14669,487
2653,1205923543.txt,51301,555,11,26315,1143
2654,1204795049.txt,17981,168,3,7742,279
2655,1204526243.txt,11779,117,1,5839,185
2656,1207548273.txt,38658,463,8,20600,1135
2657,1205937129.txt,57087,574,4,29119,911
2658,1202163689.txt,5585,51,0,2918,122
2659,1213104058.txt,8457,81,0,4104,188
2660,1204535010.txt,10747,120,5,5209,173
2661,1204664669.txt,29581,227,8,14390,431
2662,63930032.txt,19417,184,16,9896,321
2663,1209464451.txt,60125,568,2,29664,974
2664,1200715902.txt,55845,394,8,27634,991
2665,62257766.txt,8811,115,4,4606,195
2666,1209438843.txt,0,0,0,0,0
2667,1212634736.txt,38727,341,2,18577,664
2668,1207522228.txt,5408,85,4,2915,129
2669,1200897156.txt,4065,50,1,2160,95
2670,1206123743.txt,4401,48,1,2263,121
2671,1202257422.txt,5186,66,2,2718,103
2672,60862305.txt,8822,87,5,4815,178
2673,1203155684.txt,9370,106,3,4872,169
2674,1206100214.txt,59731,682,3,30673,1223
2675,63848359.txt,9045,118,1,4716,193
2676,1205934170.txt,15632,157,6,8463,335
2677,1202036978.txt,4829,46,1,2515,125
2678,63845699.txt,14836,133,4,6938,262
2679,1203264045.txt,17279,204,4,8451,349
2680,63602254.txt,11418,124,4,6084,220
